LID,Projection Type,Stat Type,Name,OverUnder,League
11,Fantasy Score,Fantasy Score,Eugene Lewis,15.5,CFL
11,Single Stat,Receptions,Bryan Burnham,5.0,CFL
11,Single Stat,Receptions,Steven Dunbar Jr.,4.5,CFL
11,Single Stat,Receptions,Eugene Lewis,4.5,CFL
11,Fantasy Score,Fantasy Score,Tim White,12.5,CFL
11,Single Stat,Receptions,Tim White,4.0,CFL
11,Single Stat,Receptions,Reggie White Jr.,4.0,CFL
11,Fantasy Score,Fantasy Score,Trevor Harris,14.5,CFL
11,Fantasy Score,Fantasy Score,Reggie White Jr.,9.0,CFL
11,Single Stat,Pass Yards,Trevor Harris,250.5,CFL
11,Single Stat,Receiving Yards,Eugene Lewis,65.5,CFL
11,Single Stat,Receiving Yards,Steven Dunbar Jr.,60.5,CFL
11,Fantasy Score,Fantasy Score,Steven Dunbar Jr.,12.5,CFL
11,Single Stat,Receiving Yards,Tim White,55.5,CFL
11,Single Stat,Receiving Yards,Bryan Burnham,60.5,CFL
11,Single Stat,Receiving Yards,Lucky Whitehead,60.5,CFL
11,Single Stat,Receptions,Dominique Rhymes,5.0,CFL
11,Single Stat,Pass Yards,Cody Fajardo,230.5,CFL
11,Single Stat,Receiving Yards,Jaelon Acklin,67.5,CFL
11,Single Stat,Receptions,Jaelon Acklin,4.5,CFL
11,Fantasy Score,Fantasy Score,Jaelon Acklin,15.5,CFL
11,Fantasy Score,Fantasy Score,Cody Fajardo,16.5,CFL
11,Fantasy Score,Fantasy Score,Nathan Rourke,25.5,CFL
11,Single Stat,Pass Yards,Nathan Rourke,300.5,CFL
11,Fantasy Score,Fantasy Score,Jamal Morrow,14.5,CFL
11,Single Stat,Rush Yards,Jamal Morrow,50.5,CFL
11,Fantasy Score,Fantasy Score,James Butler,14.5,CFL
11,Single Stat,Rush Yards,James Butler,50.5,CFL
11,Fantasy Score,Fantasy Score,Duke (D'haquille) Williams,16.5,CFL
11,Single Stat,Receiving Yards,Duke (D'haquille) Williams,65.5,CFL
11,Single Stat,Receptions,Duke (D'haquille) Williams,4.5,CFL
11,Single Stat,Receptions,Lucky Whitehead,5.5,CFL
11,Fantasy Score,Fantasy Score,Lucky Whitehead,15.5,CFL
11,Single Stat,Receiving Yards,Kian Schaffer-Baker,50.5,CFL
11,Fantasy Score,Fantasy Score,Kian Schaffer-Baker,12.5,CFL
11,Single Stat,Receptions,Kian Schaffer-Baker,4.0,CFL
11,Single Stat,Receiving Yards,Dominique Rhymes,75.5,CFL
11,Fantasy Score,Fantasy Score,Dominique Rhymes,17.5,CFL
11,Fantasy Score,Fantasy Score,Bryan Burnham,16.5,CFL
11,Fantasy Score,Fantasy Score,Mcleod Bethel-Thompson,15.5,CFL
11,Single Stat,Receiving Yards,Reggie White Jr.,45.5,CFL
11,Single Stat,Receiving Yards,Darvin Adams,60.5,CFL
11,Single Stat,Receptions,Darvin Adams,4.5,CFL
11,Single Stat,Receiving Yards,Kamar Jorden,45.5,CFL
11,Single Stat,Receptions,Kamar Jorden,4.5,CFL
11,Single Stat,Receiving Yards,Kenny Lawler,65.5,CFL
11,Single Stat,Receptions,Kenny Lawler,4.5,CFL
11,Fantasy Score,Fantasy Score,Kenny Lawler,14.5,CFL
11,Fantasy Score,Fantasy Score,Derel Walker,9.5,CFL
11,Single Stat,Pass Yards,Mcleod Bethel-Thompson,265.5,CFL
11,Fantasy Score,Fantasy Score,Darvin Adams,11.5,CFL
11,Fantasy Score,Fantasy Score,Kamar Jorden,9.5,CFL
11,Single Stat,Receptions,DaVaris Daniels,4.0,CFL
11,Fantasy Score,Fantasy Score,Taylor Cornelius,15.5,CFL
11,Single Stat,Receiving Yards,DaVaris Daniels,54.5,CFL
11,Fantasy Score,Fantasy Score,DaVaris Daniels,10.5,CFL
11,Single Stat,Receiving Yards,Derel Walker,45.5,CFL
11,Single Stat,Rush Yards,Ka'Deem Carey,63.5,CFL
11,Single Stat,Pass Yards,Bo Levi Mitchell,230.5,CFL
11,Fantasy Score,Fantasy Score,Bo Levi Mitchell,14.5,CFL
11,Single Stat,Receptions,Derel Walker,4.0,CFL
11,Fantasy Score,Fantasy Score,Ka'Deem Carey,16.5,CFL
11,Single Stat,Receiving Yards,Kurleigh Gittens Jr.,50.5,CFL
11,Fantasy Score,Fantasy Score,Kurleigh Gittens Jr.,10.5,CFL
11,Single Stat,Pass Yards,Taylor Cornelius,220.5,CFL
11,Single Stat,Receiving Yards,Reggie Begelton,50.5,CFL
11,Single Stat,Receptions,Reggie Begelton,4.5,CFL
11,Fantasy Score,Fantasy Score,Reggie Begelton,11.5,CFL
11,Single Stat,Receptions,Kurleigh Gittens Jr.,4.5,CFL
